datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (V),VAb (V),VAc (V),VAtot (V)
2023-03-09 19:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 19:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 19:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 20:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 20:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 20:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 20:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 21:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 21:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 21:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 21:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 22:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 22:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 22:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 22:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 23:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 23:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 23:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-09 23:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 00:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 00:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 00:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 00:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 01:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 01:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 01:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 01:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 02:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 02:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 02:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 02:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 03:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 03:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 03:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 03:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 04:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 04:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 04:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 04:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 05:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 05:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 05:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 05:45:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 06:00:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 06:15:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 06:30:00,0.32,0.31,0.31,0.03126,0,0.05513,0.02975,0,0,0,0
2023-03-10 06:45:00,0.316206713,0.268614025,0.219434096,0.034447997,0,0.064081405,0.049330002,0,0,0,0
2023-03-10 07:00:00,0.313552452,0.295143616,0.263408891,0.081355915,0,0.058811877,0.079058942,0,0,0,0
2023-03-10 07:15:00,0.416382423,0.408759402,0.416874618,0.14599578,0,0.052538649,0.198024004,0,0,0,0
2023-03-10 07:30:00,0.617235475,0.617351918,0.624920168,0.233875813,0,0.127837792,0.361621428,0,0,0,0
2023-03-10 07:45:00,0.857333911,0.865751525,0.871108926,0.328395245,0,0.213282745,0.541573073,0,0,0,0
2023-03-10 08:00:00,1.075419425,1.092748478,1.094946461,0.41000285,0,0.289040627,0.699087688,0,0,0,0
2023-03-10 08:15:00,1.270087449,1.292353909,1.294482249,0.483838262,0,0.355598829,0.839425358,0,0,0,0
2023-03-10 08:30:00,1.357338304,1.384683719,1.385143946,0.515454242,0,0.385207603,0.900862218,0,0,0,0
2023-03-10 08:45:00,1.015575577,1.037268758,1.039466527,0.391167488,0,0.270150596,0.661184506,0,0,0,0
2023-03-10 09:00:00,1.725423365,1.759028721,1.758436754,0.649254738,0,0.508386698,1.157884038,0,0,0,0
2023-03-10 09:15:00,1.870773702,1.906358008,1.90612682,0.703939911,0,0.55827802,1.262732192,0,0,0,0
2023-03-10 09:30:00,2.867748595,2.919036509,2.913947404,1.057098853,0,0.888939545,1.945430596,0,0,0,0
2023-03-10 09:45:00,3.127629933,3.18098837,3.175972653,1.156407791,0,0.980668532,2.137516857,0,0,0,0
2023-03-10 10:00:00,3.699588875,3.760102115,3.752960321,1.359238393,0,1.172639232,2.531883301,0,0,0,0
2023-03-10 10:15:00,3.814865616,3.874630179,3.867016766,1.397128637,0,1.209025092,2.606515541,0,0,0,0
2023-03-10 10:30:00,3.902121495,3.959931787,3.955296516,1.429093432,0,1.236323264,2.665989914,0,0,0,0
2023-03-10 10:45:00,4.692940372,4.755801485,4.751342738,1.704661496,0,1.4972111,3.201995408,0,0,0,0
2023-03-10 11:00:00,3.299785045,3.354454282,3.350316933,1.21586087,0,1.036931018,2.253523666,0,0,0,0
2023-03-10 11:15:00,5.219904849,5.285831573,5.280130055,1.891340255,0,1.673720355,3.564127752,0,0,0,0
2023-03-10 11:30:00,5.280465997,5.353786963,5.344575437,1.913707878,0,1.696127623,3.609146642,0,0,0,0
2023-03-10 11:45:00,4.698217726,4.76147984,4.756390009,1.708012769,0,1.500303324,3.209145995,0,0,0,0
2023-03-10 12:00:00,4.248312303,4.304431177,4.300318123,1.550816569,0,1.351041272,2.901322104,0,0,0,0
2023-03-10 12:15:00,3.236252389,3.285494133,3.286522068,1.194716247,0,1.019274787,2.213722541,0,0,0,0
2023-03-10 12:30:00,5.264162001,5.327013398,5.322337911,1.91034165,0,1.690983004,3.601386512,0,0,0,0
2023-03-10 12:45:00,3.77582105,3.829267547,3.8283808,1.384593766,0,1.195571673,2.579547957,0,0,0,0
2023-03-10 13:00:00,5.489295545,5.556121053,5.551382252,1.984788205,0,1.763909178,3.749837483,0,0,0,0
2023-03-10 13:15:00,3.288579796,3.33481111,3.335196559,1.206324321,0,1.03207695,2.239075086,0,0,0,0
2023-03-10 13:30:00,2.545373977,2.583725658,2.584369189,0.938944745,0,0.78281249,1.720676864,0,0,0,0
2023-03-10 13:45:00,5.099564628,5.161543743,5.158306838,1.844585086,0,1.6283342,3.473494736,0,0,0,0
2023-03-10 14:00:00,2.354101832,2.388731155,2.392348046,0.874871708,0,0.720378624,1.594931718,0,0,0,0
2023-03-10 14:15:00,4.251017965,4.308400849,4.3046297,1.544477885,0,1.348848935,2.893196346,0,0,0,0
2023-03-10 14:30:00,2.883630212,2.925878915,2.926296123,1.063375354,0,0.895909285,1.960004853,0,0,0,0
2023-03-10 14:45:00,1.358821751,1.383760127,1.385071737,0.517175579,0,0.38845942,0.905180662,0,0,0,0
2023-03-10 15:00:00,3.447117718,3.494648047,3.494935897,1.265323638,0,1.08468372,2.349769675,0,0,0,0
2023-03-10 15:15:00,3.139814121,3.187541137,3.18623132,1.159296681,0,0.984647622,2.144214008,0,0,0,0
2023-03-10 15:30:00,2.890879716,2.93825357,2.934305461,1.068169251,0,0.903127792,1.971710795,0,0,0,0
2023-03-10 15:45:00,2.171632154,2.207822943,2.20991657,0.815849704,0,0.662957153,1.478493796,0,0,0,0
2023-03-10 16:00:00,1.969212178,2.004785266,2.004970498,0.743385007,0,0.59586693,1.339570482,0,0,0,0
2023-03-10 16:15:00,1.349669575,1.373888525,1.377520422,0.51993063,0,0.387126468,0.907061315,0,0,0,0
2023-03-10 16:30:00,1.077005965,1.095767671,1.100093314,0.418502553,0,0.293807382,0.71232405,0,0,0,0
2023-03-10 16:45:00,0.919483475,0.930550086,0.93853555,0.359872195,0,0.238567545,0.598339464,0,0,0,0
2023-03-10 17:00:00,0.760796552,0.770736671,0.777276616,0.298653275,0,0.183095078,0.481852655,0,0,0,0
2023-03-10 17:15:00,0.582153713,0.588028929,0.595427499,0.228156065,0,0.120749044,0.3490425,0,0,0,0
2023-03-10 17:30:00,0.418948749,0.415423168,0.422943837,0.154295623,0,0.058434194,0.209059806,0,0,0,0
2023-03-10 17:45:00,0.312034606,0.289330313,0.257036605,0.087107147,0,0.023647235,0.087148174,0,0,0,0
2023-03-10 18:00:00,0.303294307,0.257711252,0.189963642,0.063330227,0,0.02362,0.052097126,0,0,0,0
2023-03-10 18:15:00,0.339093141,0.298886976,0.273604221,0.0563,0,0.052989501,0.039565335,0,0,0,0
2023-03-10 18:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 18:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 19:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 19:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 19:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 19:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 20:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 20:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 20:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
